PassengerId,Pclass,Age,Sex,Fam,Fare,Embarked
138,1,37,1,1,3,2
139,3,16,1,0,1,2
140,1,24,1,0,3,1
141,3,35,0,2,2,1
142,3,22,0,0,0,2
143,3,24,0,1,2,2
144,3,19,1,0,0,3
145,2,18,1,0,1,2
146,2,19,1,2,3,2
147,3,27,1,0,0,2
148,3,9,0,4,3,2
149,2,36,1,2,2,2
150,2,42,1,0,1,2
151,2,51,1,0,1,2
152,1,22,0,1,3,2
153,3,55,1,0,1,2
154,3,40,1,2,2,2
155,3,32,1,0,0,2
156,1,51,1,1,3,1
157,3,16,0,0,0,3
158,3,30,1,0,1,2
159,3,32,1,0,1,2
160,3,4,1,10,3,2
161,3,44,1,1,2,2
162,2,40,0,0,2,2
163,3,26,1,0,0,2
164,3,17,1,0,1,2
165,3,1,1,5,3,2
166,3,9,1,2,2,2
167,1,35,0,1,3,2
168,3,45,0,5,2,2
169,1,32,1,0,2,2
170,3,28,1,0,3,2
171,1,61,1,0,3,2
172,3,4,1,5,2,3
173,3,1,0,2,1,2
174,3,21,1,0,1,2
175,1,56,1,0,2,1
176,3,18,1,2,0,2
177,3,4,1,4,2,2
178,1,50,0,0,2,1
179,2,30,1,0,1,2
180,3,36,1,0,0,2
181,3,21,0,10,3,2
182,2,32,1,0,2,1
183,3,9,1,6,3,2
184,2,1,1,3,3,2
185,3,4,0,2,2,2
186,1,32,1,0,3,2
187,3,35,0,1,2,3
188,1,45,1,0,2,2
189,3,40,1,2,2,3
190,3,36,1,0,0,2
191,2,32,0,0,1,2
192,2,19,1,0,1,2
193,3,19,0,1,0,2
194,2,3,1,2,2,2
195,1,44,0,0,2,1
196,1,58,0,0,3,1
197,3,32,1,0,0,3
198,3,42,1,1,1,2
199,3,21,0,0,0,3
200,2,24,0,0,1,2
201,3,28,1,0,1,2
202,3,32,1,10,3,2
203,3,34,1,0,0,2
204,3,45,1,0,0,1
205,3,18,1,0,1,2
206,3,2,0,1,1,2
207,3,32,1,1,2,2
208,3,26,1,0,2,1
209,3,16,0,0,0,3
210,1,40,1,0,2,1
211,3,24,1,0,0,2
212,2,35,0,0,2,2
213,3,22,1,0,0,2
214,2,30,1,0,1,2
215,3,32,1,1,0,3
216,1,31,0,1,3,1
217,3,27,0,0,1,2
218,2,42,1,1,2,2
219,1,32,0,0,3,1
220,2,30,1,0,1,2
221,3,16,1,0,1,2
222,2,27,1,0,1,2
223,3,51,1,0,1,2
224,3,32,1,0,0,2
225,1,38,1,1,3,2
226,3,22,1,0,1,2
227,2,19,1,0,1,2
228,3,20,1,0,0,2
229,2,18,1,0,1,2
230,3,21,0,4,2,2
231,1,35,0,1,3,2
232,3,29,1,0,0,2
233,2,59,1,0,1,2
234,3,5,0,6,3,2
235,2,24,1,0,1,2
236,3,21,0,0,0,2
237,2,44,1,1,2,2
238,2,8,0,2,2,2
239,2,19,1,0,1,2
240,2,33,1,0,1,2
241,3,21,0,1,2,1
242,3,21,0,1,2,3
243,2,29,1,0,1,2
244,3,22,1,0,0,2
245,3,30,1,0,0,1
246,1,44,1,2,3,3
247,3,25,0,0,0,2
248,2,24,0,2,2,2
249,1,37,1,2,3,2
250,2,54,1,1,2,2
251,3,32,1,0,0,2
252,3,29,0,2,1,2
253,1,62,1,0,2,2
254,3,30,1,1,2,2
255,3,41,0,2,2,2
256,3,29,0,2,2,1
257,1,35,0,0,3,1
258,1,30,0,0,3,2
259,1,35,0,0,3,1
260,2,50,0,1,2,2
261,3,32,1,0,0,3
262,3,3,1,6,3,2
263,1,52,1,2,3,2
264,1,40,1,0,0,2
265,3,21,0,0,0,3
266,2,36,1,0,1,2
267,3,16,1,5,3,2
268,3,25,1,1,0,2
269,1,58,0,1,3,2
270,1,35,0,0,3,2
271,1,32,1,0,2,2
272,3,25,1,0,0,2
273,2,41,0,1,2,2
274,1,37,1,1,2,1
275,3,21,0,0,0,3
276,1,63,0,1,3,2
277,3,45,0,0,0,2
278,2,32,1,0,0,2
279,3,7,1,5,2,3
280,3,35,0,2,2,2
281,3,65,1,0,0,3
282,3,28,1,0,0,2
283,3,16,1,0,1,2
284,3,19,1,0,1,2
285,1,32,1,0,2,2
286,3,33,1,0,1,1
287,3,30,1,0,1,2
288,3,22,1,0,0,2
289,2,42,1,0,1,2
290,3,22,0,0,0,3
291,1,26,0,0,3,2
292,1,19,0,1,3,1
293,2,36,1,0,1,1
294,3,24,0,0,1,2
295,3,24,1,0,0,2
296,1,32,1,0,2,1
297,3,23,1,0,0,1
298,1,2,0,3,3,2
299,1,32,1,0,2,2
300,1,50,0,1,3,1
301,3,21,0,0,0,3
302,3,32,1,2,2,3
303,3,19,1,0,0,2
304,2,21,0,0,1,3
305,3,32,1,0,1,2
306,1,0,1,3,3,2
307,1,21,0,0,3,1
308,1,17,0,1,3,1
309,2,30,1,1,2,1
310,1,30,0,0,3,1
311,1,24,0,0,3,1
312,1,18,0,4,3,1
313,2,26,0,2,2,2
314,3,28,1,0,0,2
315,2,43,1,2,2,2
316,3,26,0,0,0,2
317,2,24,0,1,2,2
318,2,54,1,0,1,2
319,1,31,0,2,3,2
320,1,40,0,2,3,1
321,3,22,1,0,0,2
322,3,27,1,0,0,2
323,2,30,0,0,1,3
324,2,22,0,2,2,2
325,3,32,1,10,3,2
326,1,36,0,0,3,1
327,3,61,1,0,0,2
328,2,36,0,0,1,2
329,3,31,0,2,2,2
330,1,16,0,1,3,1
331,3,21,0,2,2,3
332,1,45,1,0,2,2
333,1,38,1,1,3,2
334,3,16,1,2,2,2
335,1,35,0,1,3,2
336,3,32,1,0,0,2
337,1,29,1,1,3,2
338,1,41,0,0,3,1
339,3,45,1,0,1,2
340,1,45,1,0,3,2
341,2,2,1,2,2,2
342,1,24,0,5,3,2
343,2,28,1,0,1,2
344,2,25,1,0,1,2
345,2,36,1,0,1,2
346,2,24,0,0,1,2
347,2,40,0,0,1,2
348,3,35,0,1,2,2
349,3,3,1,2,2,2
350,3,42,1,0,1,2
351,3,23,1,0,1,2
352,1,32,1,0,3,2
353,3,15,1,2,0,1
354,3,25,1,1,2,2
355,3,32,1,0,0,1
356,3,28,1,0,1,2
357,1,22,0,1,3,2
358,2,38,0,0,1,2
359,3,21,0,0,0,3
360,3,21,0,0,0,3
361,3,40,1,5,2,2
362,2,29,1,1,2,1
363,3,45,0,1,2,1
364,3,35,1,0,0,2
365,3,32,1,1,2,3
366,3,30,1,0,0,2
367,1,60,0,1,3,1
368,3,35,0,0,0,1
369,3,21,0,0,0,3
370,1,24,0,0,3,1
371,1,25,1,1,3,1
372,3,18,1,1,0,2
373,3,19,1,0,1,2
374,1,22,1,0,3,1
375,3,3,0,4,2,2
376,1,35,0,1,3,1
377,3,22,0,0,0,2
378,1,27,1,2,3,1
379,3,20,1,0,0,1
380,3,19,1,0,0,2
381,1,42,0,0,3,1
382,3,1,0,2,2,1
383,3,32,1,0,1,2
384,1,35,0,1,3,2
385,3,32,1,0,0,2
386,2,18,1,0,3,2
387,3,1,1,7,3,2
388,2,36,0,0,1,2
389,3,32,1,0,0,3
390,2,17,0,0,1,1
391,1,36,1,3,3,2
392,3,21,1,0,0,2
393,3,28,1,2,1,2
394,1,23,0,1,3,1
395,3,24,0,2,2,2
396,3,22,1,0,0,2
397,3,31,0,0,0,2
398,2,46,1,0,2,2
399,2,23,1,0,1,2
400,2,28,0,0,1,2
401,3,39,1,0,1,2
402,3,26,1,0,1,2
403,3,21,0,1,1,2
404,3,28,1,1,2,2
405,3,20,0,0,1,2
406,2,34,1,1,2,2
407,3,51,1,0,0,2
408,2,3,1,2,2,2
409,3,21,1,0,0,2
410,3,21,0,4,2,2
411,3,32,1,0,0,2
412,3,32,1,0,0,3
413,1,33,0,1,3,3
414,2,32,1,0,0,2
415,3,44,1,0,1,2
416,3,35,0,0,1,2
417,2,34,0,2,3,2
418,2,18,0,2,1,2
419,2,30,1,0,1,2
420,3,10,0,2,2,2
421,3,32,1,0,0,1
422,3,21,1,0,0,3
423,3,29,1,0,0,2
424,3,28,0,2,1,2
425,3,18,1,2,2,2
426,3,32,1,0,0,2
427,2,28,0,1,2,2
428,2,19,0,0,2,2
429,3,32,1,0,0,3
430,3,32,1,0,1,2
431,1,28,1,0,2,2
432,3,35,0,1,2,2
433,2,42,0,1,2,2
434,3,17,1,0,0,2
435,1,50,1,1,3,2
436,1,14,0,3,3,2
437,3,21,0,4,3,2
438,2,24,0,5,2,2
439,1,64,1,5,3,2
440,2,31,1,0,1,2
441,2,45,0,2,2,2
442,3,20,1,0,1,2
443,3,25,1,1,0,2
444,2,28,0,0,1,2
445,3,32,1,0,1,2
446,1,4,1,2,3,2
447,2,13,0,1,2,2
448,1,34,1,0,2,2
449,3,5,0,3,2,1
450,1,52,1,0,2,2
451,2,36,1,3,2,2
452,3,32,1,1,2,2
453,1,30,1,0,2,1
454,1,49,1,1,3,1
455,3,32,1,0,1,2
456,3,29,1,0,0,1
457,1,65,1,0,2,2
458,1,35,0,1,3,2
459,2,50,0,0,1,2
460,3,32,1,0,0,3
461,1,48,1,0,2,2
462,3,34,1,0,1,2
463,1,47,1,0,3,2
464,2,48,1,0,1,2
465,3,32,1,0,1,2
466,3,38,1,0,0,2
467,2,32,1,0,0,2
468,1,56,1,0,2,2
469,3,32,1,0,0,3
470,3,0,0,3,2,1
471,3,32,1,0,0,2
472,3,38,1,0,1,2
473,2,33,0,3,2,2
474,2,23,0,0,1,1
475,3,22,0,0,1,2
476,1,32,1,0,3,2
477,2,34,1,1,2,2
478,3,29,1,1,0,2
479,3,22,1,0,0,2
480,3,2,0,1,1,2
481,3,9,1,7,3,2
482,2,32,1,0,0,2
483,3,50,1,0,1,2
484,3,63,0,0,1,2
485,1,25,1,1,3,1
486,3,21,0,4,2,2
487,1,35,0,1,3,2
488,1,58,1,0,2,1
489,3,30,1,0,1,2
490,3,9,1,2,2,2
491,3,32,1,1,2,2
492,3,21,1,0,0,2
493,1,55,1,0,2,2
494,1,71,1,0,3,1
495,3,21,1,0,1,2
496,3,32,1,0,2,1
497,1,54,0,1,3,1
498,3,32,1,0,2,2
499,1,25,0,3,3,2
500,3,24,1,0,0,2
501,3,17,1,0,1,2
502,3,21,0,0,0,3
503,3,21,0,0,0,3
504,3,37,0,0,1,2
505,1,16,0,0,3,2
506,1,18,1,1,3,1
507,2,33,0,2,2,2
508,1,32,1,0,2,2
509,3,28,1,0,2,2
510,3,26,1,0,3,2
511,3,29,1,0,0,3
512,3,32,1,0,1,2
513,1,36,1,0,2,2
514,1,54,0,1,3,1
515,3,24,1,0,0,2
516,1,47,1,0,3,2
517,2,34,0,0,1,2
518,3,32,1,0,2,3
519,2,36,0,1,2,2
520,3,32,1,0,0,2
521,1,30,0,0,3,2
522,3,22,1,0,0,2
523,3,32,1,0,0,1
524,1,44,0,1,3,1
525,3,32,1,0,0,1
526,3,40,1,0,0,3
527,2,50,0,0,1,2
528,1,32,1,0,3,2
529,3,39,1,0,1,2
530,2,23,1,3,1,2
531,2,2,0,2,2,2
532,3,32,1,0,0,1
533,3,17,1,2,0,1
534,3,35,0,2,2,1
535,3,30,0,0,1,2
536,2,7,0,2,2,2
537,1,45,1,0,2,2
538,1,30,0,0,3,1
539,3,32,1,0,2,2
540,1,22,0,2,3,1
541,1,36,0,2,3,2
542,3,9,0,6,3,2
543,3,11,0,6,3,2
544,2,32,1,1,2,2
545,1,50,1,1,3,1
546,1,64,1,0,2,2
547,2,19,0,1,2,2
548,2,32,1,0,1,1
549,3,33,1,2,2,2
550,2,8,1,2,3,2
551,1,17,1,2,3,1
552,2,27,1,0,2,2
553,3,32,1,0,0,3
554,3,22,1,0,0,1
555,3,22,0,0,0,2
556,1,62,1,0,2,2
557,1,48,0,1,3,1
558,1,32,1,0,3,1
559,1,39,0,2,3,2
560,3,36,0,1,2,2
561,3,32,1,0,0,3
562,3,40,1,0,0,2
563,2,28,1,0,1,2
564,3,32,1,0,1,2
565,3,21,0,0,1,2
566,3,24,1,2,2,2
567,3,19,1,0,0,2
568,3,29,0,4,2,2
569,3,32,1,0,0,1
570,3,32,1,0,0,2
571,2,62,1,0,1,2
572,1,53,0,2,3,2
573,1,36,1,0,2,2
574,3,21,0,0,0,3
575,3,16,1,0,1,2
576,3,19,1,0,2,2
577,2,34,0,0,1,2
578,1,39,0,1,3,2
579,3,35,0,1,2,1
580,3,32,1,0,1,2
581,2,25,0,2,2,2
582,1,39,0,2,3,1
583,2,54,1,0,2,2
584,1,36,1,0,3,1
585,3,32,1,0,1,1
586,1,18,0,2,3,2
587,2,47,1,0,2,2
588,1,60,1,2,3,1
589,3,22,1,0,1,2
590,3,32,1,0,1,2
591,3,35,1,0,0,2
592,1,52,0,1,3,1
593,3,47,1,0,0,2
594,3,21,0,2,0,3
595,2,37,1,1,2,2
596,3,36,1,2,2,2
597,2,21,0,0,3,2
598,3,49,1,0,0,2
599,3,32,1,0,0,1
600,1,49,1,1,3,1
601,2,24,0,3,2,2
602,3,32,1,0,0,2
603,1,32,1,0,3,2
604,3,44,1,0,1,2
605,1,35,1,0,2,1
606,3,36,1,1,2,2
607,3,30,1,0,0,2
608,1,27,1,0,2,2
609,2,22,0,3,3,1
610,1,40,0,0,3,2
611,3,39,0,6,3,2
612,3,32,1,0,0,2
613,3,21,0,1,2,3
614,3,32,1,0,0,3
615,3,35,1,0,1,2
616,2,24,0,3,3,2
617,3,34,1,2,1,2
618,3,26,0,1,2,2
619,2,4,0,3,3,2
620,2,26,1,0,1,2
621,3,27,1,1,2,1
622,1,42,1,1,3,2
623,3,20,1,2,2,1
624,3,21,1,0,0,2
625,3,21,1,0,2,2
626,1,61,1,0,3,2
627,2,57,1,0,1,3
628,1,21,0,0,3,2
629,3,26,1,0,0,2
630,3,32,1,0,0,3
631,1,80,1,0,2,2
632,3,51,1,0,0,2
633,1,32,1,0,2,1
634,1,32,1,0,0,2
635,3,9,0,5,2,2
636,2,28,0,0,1,2
637,3,32,1,0,1,2
638,2,31,1,2,2,2
639,3,41,0,5,3,2
640,3,32,1,1,2,2
641,3,20,1,0,0,2
642,1,24,0,0,3,1
643,3,2,0,5,2,2
644,3,32,1,0,3,2
645,3,0,0,3,2,1
646,1,48,1,1,3,1
647,3,19,1,0,0,2
648,1,56,1,0,3,1
649,3,32,1,0,0,2
650,3,23,0,0,0,2
651,3,32,1,0,0,2
652,2,18,0,1,2,2
653,3,21,1,0,1,2
654,3,21,0,0,0,3
655,3,18,0,0,0,3
656,2,24,1,2,3,2
657,3,32,1,0,0,2
658,3,32,0,2,2,3
659,2,23,1,0,1,2
660,1,58,1,2,3,1
661,1,50,1,2,3,2
662,3,40,1,0,0,1
663,1,47,1,0,2,2
664,3,36,1,0,0,2
665,3,20,1,1,1,2
666,2,32,1,2,3,2
667,2,25,1,0,1,2
668,3,32,1,0,0,2
669,3,43,1,0,1,2
670,1,35,0,1,3,2
671,2,40,0,2,3,2
672,1,31,1,1,3,2
673,2,70,1,0,1,2
674,2,31,1,0,1,2
675,2,32,1,0,0,2
676,3,18,1,0,0,2
677,3,24,1,0,1,2
678,3,18,0,0,1,2
679,3,43,0,7,3,2
680,1,36,1,1,3,1
681,3,21,0,0,1,3
682,1,27,1,0,3,1
683,3,20,1,0,1,2
684,3,14,1,7,3,2
685,2,60,1,2,3,2
686,2,25,1,3,3,1
687,3,14,1,5,3,2
688,3,19,1,0,1,2
689,3,18,1,0,0,2
690,1,15,0,1,3,2
691,1,31,1,1,3,2
692,3,4,0,1,1,1
693,3,32,1,0,3,2
694,3,25,1,0,0,1
695,1,60,1,0,2,2
696,2,52,1,0,1,2
697,3,44,1,0,1,2
698,3,21,0,0,0,3
699,1,49,1,2,3,1
700,3,42,1,0,0,2
701,1,18,0,1,3,1
702,1,35,1,0,2,2
703,3,18,0,1,2,1
704,3,25,1,0,0,3
705,3,26,1,1,0,2
706,2,39,1,0,2,2
707,2,45,0,0,1,2
708,1,42,1,0,2,2
709,1,22,0,0,3,2
710,3,4,1,2,2,1
711,1,24,0,0,3,1
712,1,32,1,0,2,2
713,1,48,1,1,3,2
714,3,29,1,0,1,2
715,2,52,1,0,1,2
716,3,19,1,0,0,2
717,1,38,0,0,3,1
718,2,27,0,0,1,2
719,3,32,1,0,2,3
720,3,33,1,0,0,2
721,2,6,0,1,3,2
722,3,17,1,1,0,2
723,2,34,1,0,1,2
724,2,50,1,0,1,2
725,1,27,1,1,3,2
726,3,20,1,0,1,2
727,2,30,0,3,2,2
728,3,21,0,0,0,3
729,2,25,1,1,2,2
730,3,25,0,1,1,2
731,1,29,0,0,3,2
732,3,11,1,0,2,1
733,2,32,1,0,0,2
734,2,23,1,0,1,2
735,2,23,1,0,1,2
736,3,28,1,0,2,2
737,3,48,0,4,3,2
738,1,35,1,0,3,1
739,3,32,1,0,0,2
740,3,32,1,0,0,2
741,1,32,1,0,2,2
742,1,36,1,1,3,2
743,1,21,0,4,3,1
744,3,24,1,1,2,2
745,3,31,1,0,1,2
746,1,70,1,2,3,2
747,3,16,1,2,2,2
748,2,30,0,0,1,2
749,1,19,1,1,3,2
750,3,31,1,0,0,3
751,2,4,0,2,2,2
752,3,6,1,1,1,2
753,3,33,1,0,1,2
754,3,23,1,0,0,2
755,2,48,0,3,3,2
756,2,0,1,2,2,2
757,3,28,1,0,0,2
758,2,18,1,0,1,2
759,3,34,1,0,1,2
760,1,33,0,0,3,2
761,3,32,1,0,2,2
762,3,41,1,0,0,2
763,3,20,1,0,0,1
764,1,36,0,3,3,2
765,3,16,1,0,0,2
766,1,51,0,1,3,2
767,1,42,1,0,3,1
768,3,30,0,0,0,3
769,3,32,1,1,2,3
770,3,32,1,0,1,2
771,3,24,1,0,1,2
772,3,48,1,0,0,2
773,2,57,0,0,1,2
774,3,32,1,0,0,1
775,2,54,0,4,2,2
776,3,18,1,0,0,2
777,3,32,1,0,0,3
778,3,5,0,0,1,2
779,3,32,1,0,0,3
780,1,43,0,1,3,2
781,3,13,0,0,0,1
782,1,17,0,1,3,2
783,1,29,1,0,2,2
784,3,32,1,3,2,2
785,3,25,1,0,0,2
786,3,25,1,0,0,2
787,3,18,0,0,0,2
788,3,8,1,5,2,3
789,3,1,1,3,2,2
790,1,46,1,0,3,1
791,3,32,1,0,0,3
792,2,16,1,0,2,2
793,3,21,0,10,3,2
794,1,32,1,0,2,1
795,3,25,1,0,0,2
796,2,39,1,0,1,2
797,1,49,0,0,2,2
798,3,31,0,0,1,2
799,3,30,1,0,0,1
800,3,30,0,2,2,2
801,2,34,1,0,1,2
802,2,31,0,2,2,2
803,1,11,1,3,3,2
804,3,0,1,1,1,1
805,3,27,1,0,0,2
806,3,31,1,0,0,2
807,1,39,1,0,0,2
808,3,18,0,0,0,2
809,2,39,1,0,1,2
810,1,33,0,1,3,2
811,3,26,1,0,0,2
812,3,39,1,0,2,2
813,2,35,1,0,1,2
814,3,6,0,6,3,2
815,3,30,1,0,1,2
816,1,32,1,0,0,2
817,3,23,0,0,1,2
818,2,31,1,2,3,1
819,3,43,1,0,0,2
820,3,10,1,5,2,2
821,1,52,0,2,3,2
822,3,27,1,0,1,2
823,1,38,1,0,0,2
824,3,27,0,1,1,2
825,3,2,1,5,3,2
826,3,32,1,0,0,3
827,3,32,1,0,3,2
828,2,1,1,2,3,1
829,3,32,1,0,0,3
830,1,62,0,0,3,1
831,3,15,0,1,2,1
832,2,0,1,2,2,2
833,3,32,1,0,0,1
834,3,23,1,0,0,2
835,3,18,1,0,1,2
836,1,39,0,2,3,1
837,3,21,1,0,1,2
838,3,32,1,0,1,2
839,3,32,1,0,3,2
840,1,32,1,0,2,1
841,3,20,1,0,1,2
842,2,16,1,0,1,2
843,1,30,0,0,2,1
844,3,34,1,0,0,1
845,3,17,1,0,1,2
846,3,42,1,0,0,2
847,3,32,1,10,3,2
848,3,35,1,0,0,1
849,2,28,1,1,3,2
850,1,35,0,1,3,1
851,3,4,1,6,3,2
852,3,74,1,0,0,2
853,3,9,0,2,2,1
854,1,16,0,1,3,2
855,2,44,0,1,2,2
856,3,18,0,1,1,2
857,1,45,0,2,3,2
858,1,51,1,0,2,2
859,3,24,0,3,2,1
860,3,32,1,0,0,1
861,3,41,1,2,1,2
862,2,21,1,1,1,2
863,1,48,0,0,2,2
864,3,21,0,10,3,2
865,2,24,1,0,1,2
866,2,42,0,0,1,2
867,2,27,0,1,1,1
868,1,31,1,0,3,2
869,3,32,1,0,1,2
870,3,4,1,2,1,2
871,3,26,1,0,0,2
872,1,47,0,2,3,2
873,1,33,1,0,0,2
874,3,47,1,0,1,2
875,2,28,0,1,2,1
876,3,15,0,0,0,1
877,3,20,1,0,1,2
878,3,19,1,0,0,2
879,3,32,1,0,0,2
880,1,56,0,1,3,1
881,2,25,0,1,2,2
882,3,33,1,0,0,2
883,3,22,0,0,1,2
884,2,28,1,0,1,2
885,3,25,1,0,0,2
886,3,39,0,5,2,3
887,2,27,1,0,1,2
888,1,19,0,0,2,2
889,3,21,0,3,2,2
890,1,26,1,0,2,1
891,3,32,1,0,0,3
